Kernel函数名称,kernel来源,函数名特征,kernel类型,核心程度级别,核心程度得分,判定依据,Kernel源码路径,Kernel行号
chunk_comba_cumsum_scalar_bwd_kernel,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/comba/utils.py,107
chunk_scaled_dot_comba_pkt_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/comba/wy_fast.py,31
prepare_wy_repr_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/comba/wy_fast.py,164
recompute_w_u_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/comba/wy_fast.py,300
chunk_gated_delta_rule_fwd_kernel_h_blockdim64,共享模块,门控组件,cv/cube,辅助,3,门控组件,fla/ops/common/chunk_delta_h.py,39
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,共享模块,门控组件,cv/cube,辅助,3,门控组件,fla/ops/common/chunk_delta_h.py,344
chunk_fwd_kernel_h,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/chunk_h.py,35
chunk_bwd_kernel_dh,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_h.py,162
chunk_fwd_kernel_h_parallel,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/chunk_h_parallel.py,38
chunk_fwd_kernel_h_reduction,共享模块,共享模块chunk+fwd+vv,vv,辅助,3,共享模块chunk+fwd+vv,fla/ops/common/chunk_h_parallel.py,153
chunk_bwd_kernel_dh_parallel,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_h_parallel.py,239
chunk_bwd_kernel_dh_reduction,共享模块,共享模块chunk+bwd,vv,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_h_parallel.py,343
chunk_fwd_kernel_h_split,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/chunk_h_split.py,32
chunk_fwd_kernel_h_reduction,共享模块,共享模块chunk+fwd+vv,vv,辅助,3,共享模块chunk+fwd+vv,fla/ops/common/chunk_h_split.py,152
chunk_bwd_kernel_dh_split,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_h_split.py,239
chunk_bwd_kernel_dh_reduction,共享模块,共享模块chunk+bwd,vv,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_h_split.py,358
chunk_fwd_kernel_o,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/chunk_o.py,34
chunk_bwd_kernel_dqkwg,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_o.py,156
chunk_bwd_kernel_dv,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_o.py,358
chunk_bwd_kernel_dv_local,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/chunk_o.py,460
chunk_scaled_dot_kkt_fwd_kernel,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/chunk_scaled_dot_kkt.py,31
fused_chunk_fwd_kernel,共享模块,共享模块chunk+fwd+cv/cube(降级为辅助),cv/cube,辅助,3,共享模块chunk+fwd+cv/cube(降级为辅助),fla/ops/common/fused_chunk.py,44
fused_chunk_bwd_kernel,共享模块,共享模块chunk+bwd,cv/cube,辅助,3,共享模块chunk+bwd,fla/ops/common/fused_chunk.py,178
fused_recurrent_fwd_kernel,共享模块,共享模块fused操作,vv,辅助,3,共享模块fused操作,fla/ops/common/fused_recurrent.py,29
fused_recurrent_bwd_kernel,共享模块,共享模块fused操作,vv,辅助,3,共享模块fused操作,fla/ops/common/fused_recurrent.py,142
pre_process_fwd_kernel_merged,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/cp/chunk_delta_h.py,40
merge_fwd_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/cp/chunk_delta_h.py,285
pre_process_bwd_kernel_merged,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/cp/chunk_delta_h.py,440
fused_recurrent_delta_rule_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/delta_rule/fused_recurrent.py,21
fused_recurrent_delta_rule_bwd_kernel,核心算子,fused+bwd,vv,重要,4,fused+bwd,fla/ops/delta_rule/fused_recurrent.py,108
chunk_transform_qk_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/delta_rule/parallel.py,27
save_intra_chunk_attn,核心算子,数据搬运/预处理,vv,辅助,3,数据搬运/预处理,fla/ops/delta_rule/parallel.py,135
parallel_delta_rule_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/delta_rule/parallel.py,152
recompute_w_u_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/delta_rule/wy_fast.py,32
prepare_wy_repr_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/delta_rule/wy_fast.py,94
parallel_deltaformer_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/deltaformer/parallel.py,135
parallel_deltaformer_bwd_kernel_u,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/deltaformer/parallel.py,276
parallel_deltaformer_bwd_kernel_row_sum,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/deltaformer/parallel.py,363
parallel_deltaformer_bwd_kernel_qk,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/deltaformer/parallel.py,458
chunk_gated_delta_product_fwd_kernel_h_blockdim64,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_delta_product/chunk_deltaproduct_h.py,37
chunk_gated_delta_product_bwd_kernel_dhu_blockdim64,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_delta_product/chunk_deltaproduct_h.py,216
chunk_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_delta_product/chunk_deltaproduct_o.py,35
chunk_gated_delta_rule_fwd_kkt_solve_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_delta_rule/chunk_fwd.py,36
fused_recurrent_gated_delta_rule_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/gated_delta_rule/fused_recurrent.py,24
gdn_gate_chunk_cumsum_scalar_kernel,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/gated_delta_rule/gate.py,60
gdn_gate_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/gated_delta_rule/gate.py,116
gdn_gate_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_delta_rule/gate.py,235
safe_dot,核心算子,cv/cube类型默认核心,cv/cube,核心,5,cv/cube类型默认核心,fla/ops/gated_delta_rule/wy_fast.py,27
safe_dot,核心算子,cv/cube类型默认核心,cv/cube,核心,5,cv/cube类型默认核心,fla/ops/gated_delta_rule/wy_fast.py,27
recompute_w_u_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_delta_rule/wy_fast.py,56
prepare_wy_repr_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_delta_rule/wy_fast.py,132
chunk_oja_fwd_kernel_h_blockdim64,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_oja_rule/chunk_h.py,37
chunk_oja_bwd_kernel_dhu_blockdim64,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_h.py,264
chunk_gsa_bwd_k_kernel_dqkvg,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_h.py,527
chunk_oja_bwd_kernel_dvwg_h,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_h.py,663
chunk_scaled_dot_kkt_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_oja_rule/chunk_kkt.py,29
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_intra,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gated_oja_rule/chunk_kkt.py,166
chunk_scaled_dot_kkt_bwd_kernel_gk,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_kkt.py,230
chunk_oja_fwd_inter,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gated_oja_rule/chunk_o.py,33
chunk_oja_fwd_intra,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gated_oja_rule/chunk_o.py,107
chunk_oja_bwd_kernel_dA,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_o.py,262
chunk_oja_bwd_kernel_dqk,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_o.py,404
chunk_oja_bwd_kernel_dv_o,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/chunk_o.py,542
fused_recurrent_oja_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/gated_oja_rule/fused_recurrent.py,22
recompute_w_u_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gated_oja_rule/wy_fast.py,29
prepare_wy_repr_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gated_oja_rule/wy_fast.py,108
chunk_gla_fwd_A_kernel_intra_sub_inter,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gla/chunk.py,35
chunk_gla_fwd_A_kernel_intra_sub_intra,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gla/chunk.py,109
chunk_gla_fwd_A_kernel_intra_sub_intra_split,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gla/chunk.py,183
chunk_gla_fwd_A_kernel_intra_sub_intra_merge,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gla/chunk.py,262
chunk_gla_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/gla/chunk.py,312
chunk_gla_bwd_kernel_intra,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gla/chunk.py,398
chunk_gla_bwd_kernel_dA,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gla/chunk.py,534
chunk_gla_bwd_kernel_dv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gla/chunk.py,587
chunk_gla_bwd_kernel_inter,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gla/chunk.py,664
chunk_gsa_fwd_k_kernel_inter,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gsa/chunk.py,38
chunk_gsa_fwd_k_kernel_intra,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/gsa/chunk.py,112
chunk_gsa_bwd_k_kernel_dA,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gsa/chunk.py,200
chunk_gsa_bwd_k_kernel_dqkvg,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gsa/chunk.py,301
chunk_gsa_bwd_k_kernel_intra_dvg,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/gsa/chunk.py,427
fused_recurrent_gsa_inference_kernel,核心算子,含fused,vv,优化,2,含fused,fla/ops/gsa/fused_recurrent.py,17
chunk_hgrn_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/hgrn/chunk.py,52
chunk_hgrn_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/hgrn/chunk.py,94
chunk_hgrn_bwd_kernel_h,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/hgrn/chunk.py,132
chunk_hgrn_bwd_kernel_o,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/hgrn/chunk.py,178
fused_recurrent_hgrn_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/hgrn/fused_recurrent.py,30
fused_recurrent_hgrn_bwd_kernel,核心算子,fused+bwd,vv,重要,4,fused+bwd,fla/ops/hgrn/fused_recurrent.py,92
chunk_kda_bwd_kernel_dAv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/kda/chunk_bwd.py,47
chunk_kda_bwd_kernel_wy_dqkg_fused,核心算子,fused+bwd,cv/cube,重要,4,fused+bwd,fla/ops/kda/chunk_bwd.py,128
chunk_kda_fwd_kernel_inter_solve_fused,核心算子,含fused,cv/cube,优化,2,含fused,fla/ops/kda/chunk_intra.py,40
chunk_kda_bwd_kernel_intra,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/kda/chunk_intra.py,364
chunk_kda_fwd_kernel_intra_sub_chunk,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/kda/chunk_intra.py,640
chunk_kda_fwd_kernel_intra_token_parallel,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/kda/chunk_intra_token_parallel.py,30
fused_recurrent_kda_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/kda/fused_recurrent.py,30
kda_gate_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/kda/gate.py,86
kda_gate_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/kda/gate.py,142
kda_gate_chunk_cumsum_vector_kernel,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/kda/gate.py,361
recompute_w_u_fwd_kda_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/kda/wy_fast.py,31
prepare_wy_repr_bwd_kda_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/kda/wy_fast.py,118
chunkwise_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/log_linear_attn/chunk.py,41
copy_input_kernel,核心算子,数据搬运/预处理,vv,辅助,3,数据搬运/预处理,fla/ops/log_linear_attn/chunk.py,677
copy_last_chunk_kernel,核心算子,数据搬运/预处理,vv,辅助,3,数据搬运/预处理,fla/ops/log_linear_attn/chunk.py,828
chunkwise_bwd_kernel_dhg,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/log_linear_attn/chunk.py,930
chunkwise_bwd_kernel_hdqgl,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/log_linear_attn/chunk.py,1047
chunkwise_bwd_kernel_dkg,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/log_linear_attn/chunk.py,1195
chunkwise_bwd_kernel_dv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/log_linear_attn/chunk.py,1285
chunkwise_bwd_kernel_diag,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/log_linear_attn/chunk.py,1351
chunk_update_once,核心算子,update+cv/cube,cv/cube,核心,5,update+cv/cube,fla/ops/mesa_net/chunk_cg_solver_bwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/mesa_net/chunk_cg_solver_bwd.py,36
chunk_update_once,核心算子,update+cv/cube,cv/cube,核心,5,update+cv/cube,fla/ops/mesa_net/chunk_cg_solver_fwd.py,16
chunk_fwd_mesa_cg_dim64_kernel,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/mesa_net/chunk_cg_solver_fwd.py,36
chunk_mesa_net_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/mesa_net/chunk_h_fwd.py,31
chunk_mesa_net_h_kk_bwd_intra_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/mesa_net/chunk_h_kk_intra_bwd.py,19
chunk_mesa_net_h_kv_bwd_intra_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/mesa_net/chunk_h_kv_intra_bwd.py,32
chunk_mesa_net_h_kv_bwd_intra_kernel_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,31
chunk_mesa_net_h_kv_bwd_intra_kernel_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,150
mesa_net_decoding_one_step_kernel,核心算子,解码步骤,vv,核心,5,解码步骤,fla/ops/mesa_net/decoding_one_step.py,16
parallel_nsa_compression_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/nsa/compression.py,29
parallel_nsa_compression_bwd_kernel_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/nsa/compression.py,132
parallel_nsa_compression_bwd_kernel_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/nsa/compression.py,236
parallel_nsa_kernel_topk,核心算子,topk操作,cv/cube,辅助,3,topk操作,fla/ops/nsa/parallel.py,43
parallel_nsa_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/nsa/parallel.py,181
parallel_nsa_kernel_mask,核心算子,含cumsum/preprocess/mask,vv,辅助,3,含cumsum/preprocess/mask,fla/ops/nsa/parallel.py,271
parallel_nsa_bwd_kernel_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/nsa/parallel.py,308
parallel_nsa_bwd_kernel_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/nsa/parallel.py,417
_compare_and_swap,核心算子,排序工具,vv,辅助,3,排序工具,fla/ops/nsa/utils.py,20
_bitonic_merge,核心算子,排序工具,vv,辅助,3,排序工具,fla/ops/nsa/utils.py,55
argsort,核心算子,排序工具,vv,辅助,3,排序工具,fla/ops/nsa/utils.py,81
chunk_cumprod_householder_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/path_attn/cumprod_householder_bwd.py,19
chunk_cumprod_householder_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/path_attn/cumprod_householder_fwd.py,19
intra_chunk_preprocess_bwd_kernel,核心算子,含cumsum/preprocess/mask,cv/cube,辅助,3,含cumsum/preprocess/mask,fla/ops/path_attn/intra_chunk_preprocess_bwd.py,20
chunk_transform_qk_bwd_kernel_prepare,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/path_attn/intra_chunk_preprocess_bwd_prepare.py,19
intra_chunk_preprocess_fwd_kernel,核心算子,含cumsum/preprocess/mask,cv/cube,辅助,3,含cumsum/preprocess/mask,fla/ops/path_attn/intra_chunk_preprocess_fwd.py,19
parallel_path_bwd_dkv_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/path_attn/parallel_path_bwd_inter_dkv.py,19
parallel_path_bwd_dq_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/path_attn/parallel_path_bwd_inter_dqh.py,21
parallel_path_bwd_intra_chunk_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/path_attn/parallel_path_bwd_intra.py,19
parallel_path_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/path_attn/parallel_path_fwd.py,19
parallel_path_fwd_kernel_prepare_k_cache,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/path_attn/prepare_k_cache.py,18
transform_q_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/path_attn/transform_q.py,18
parallel_rebased_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/rebased/parallel.py,18
_parallel_rebased_bwd_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/rebased/parallel.py,103
_parallel_rebased_bwd_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/rebased/parallel.py,187
parallel_rebased_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rebased/parallel.py,273
fused_recurrent_rwkv4_forward_kernel,核心算子,含fused,vv,优化,2,含fused,fla/ops/rwkv4/fused_recurrent.py,28
fused_recurrent_rwkv4_backward_kernel,核心算子,含fused,vv,优化,2,含fused,fla/ops/rwkv4/fused_recurrent.py,179
fused_recurrent_rwkv6_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/rwkv6/fused_recurrent.py,31
fused_recurrent_rwkv6_bwd_kernel_dq,核心算子,fused+bwd,vv,重要,4,fused+bwd,fla/ops/rwkv6/fused_recurrent.py,118
fused_recurrent_rwkv6_bwd_kernel_dkv,核心算子,fused+bwd,vv,重要,4,fused+bwd,fla/ops/rwkv6/fused_recurrent.py,208
fused_recurrent_rwkv6_bwd_kernel_dw,核心算子,fused+bwd,cv/cube,重要,4,fused+bwd,fla/ops/rwkv6/fused_recurrent.py,306
chunk_rwkv6_fwd_cumsum_kernel,核心算子,含cumsum/preprocess/mask,cv/cube,辅助,3,含cumsum/preprocess/mask,fla/ops/rwkv6/chunk.py,45
